CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)
23434	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T02	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Mon	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		
23436	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T03	Tutorial/Discussions	20	10019382	Paul A. Gaynor	18-Jan-16	14-Apr-16	Mon	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		
23442	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T04	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Mon	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		
23445	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T05	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	10:00 AM	10:59 AM	Computer Science Tutorial Room 1		
23447	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T06	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	11:00 AM	11:59 AM	Computer Science Tutorial Room 1		
23449	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T07	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		
23455	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T08	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Wed	7:00 PM	7:59 PM	Computer Science Tutorial Room 1		
23457	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T09	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	7:00 PM	7:59 PM	Computer Science Tutorial Room 2		
23458	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T10	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Mon	9:00 AM	9:59 AM	Computer Science Tutorial Room 2		
23459	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T11	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Tues	4:00 PM	4:59 PM	Computer Science Tutorial Room 1		
23461	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T12	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Wed	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		
23463	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T13	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Wed	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		
23465	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP116	201520	Mona	T14	Tutorial/Discussions	20	10019382	Paul A. Gaynor	18-Jan-16	14-Apr-16	Thur	11:00 AM	11:59 AM	Computer Science Tutorial Room 2		
